央视,#genre#

CCTV1,http://192.168.25.3:50101/TVOD/6000000001000029752/wasusyt/index.m3u8$8M1080_华数
CCTV2,http://192.168.25.3:50101/TVOD/6000000001000014161/wasusyt/index.m3u8$8M1080_华数
CCTV3,http://192.168.25.3:50101/TVOD/6000000001000022313/wasusyt/index.m3u8$8M1080_华数
CCTV4,http://192.168.25.3:35455/gaoma/cctv4.m3u8
CCTV5,http://192.168.25.3:50101/TVOD/6000000001000016431/wasusyt/index.m3u8$8M1080_华数
CCTV5+,http://192.168.25.3:50101/TVOD/6000000001000015875/wasusyt/index.m3u8$8M1080_华数
CCTV6,http://192.168.25.3:50101/TVOD/6000000001000004574/wasusyt/index.m3u8$8M1080_华数
CCTV7,http://192.168.25.3:50101/TVOD/6000000001000009055/wasusyt/index.m3u8$8M1080_华数
CCTV8,http://192.168.25.3:50101/TVOD/6000000001000001070/wasusyt/index.m3u8$8M1080_华数
CCTV9,http://192.168.25.3:50101/TVOD/6000000001000032162/wasusyt/index.m3u8$8M1080_华数
CCTV10,http://192.168.25.3:50101/TVOD/6000000001000031506/wasusyt/index.m3u8$8M1080_华数
CCTV11,http://192.168.25.3:35455/gaoma/cctv11.m3u8
CCTV12,http://192.168.25.3:50101/TVOD/6000000001000022586/wasusyt/index.m3u8$8M1080_华数
CCTV13,http://192.168.25.3:35455/gaoma/cctv13.m3u8
CCTV14,http://192.168.25.3:50101/TVOD/6000000001000013647/wasusyt/index.m3u8$8M1080_华数
CCTV15,http://192.168.25.3:35455/gaoma/cctv15.m3u8
CCTV16,http://192.168.25.3:35455/gaoma/cctv16.m3u8
CCTV16,http://192.168.25.3:35455/gaoma/cctv4k16.m3u8
CCTV17,http://192.168.25.3:35455/gaoma/cctv17.m3u8
CCTV4K,http://192.168.25.3:35455/gaoma/cctv4k.m3u8
CCTV8K,http://192.168.25.3:35455/gaoma/cctv8k_36m.m3u8
CCTV1,http://192.168.25.3:35455/gaoma/cctv1.m3u8
CCTV2,http://192.168.25.3:35455/gaoma/cctv2.m3u8
CCTV3,http://192.168.25.3:35455/gaoma/cctv3.m3u8
CCTV5,http://192.168.25.3:35455/gaoma/cctv5.m3u8
CCTV5+,http://192.168.25.3:35455/gaoma/cctv5p.m3u8
CCTV7,http://192.168.25.3:35455/gaoma/cctv7.m3u8
